phi1,phi2,phi3,theta1,theta2,theta3,result
20,142,8,108,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3998>>
15,142,8,108,300,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1d40>>
15,142,8,108,305,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3c68>>
10,142,8,108,305,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3290>>
10,142,8,103,305,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3908>>
10,142,8,108,305,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3560>>
10,142,8,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3d88>>
10,142,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3ef0>>
10,147,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3bd8>>
10,142,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3c20>>
10,147,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3cf8>>
10,147,8,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea0e0>>
10,147,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea098>>
10,147,18,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea050>>
10,147,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea1b8>>
10,152,13,108,310,295,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3b00>>
10,152,13,108,310,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea2d8>>
10,152,13,108,305,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea170>>
15,152,13,108,305,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e1b48>>
15,152,13,108,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea200>>
15,152,13,103,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3e18>>
15,152,18,103,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea320>>
10,152,18,103,300,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3098>>
10,152,18,103,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea290>>
5,152,18,103,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37e3b48>>
5,152,13,103,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea4d0>>
5,152,8,103,295,300,<bound method Antenna.function of <models.Antenna instance at 0x7f1db37ea518>>
